คำเมือง, คำไทย
น้ำอ้อย, น้ำอ้อย
จี๊นเกื๋อ, เนื้อเค็ม
บูลี, บุหรี่
ป๋าแห้ง, ปลากรอบ
ป๋าแห้ง, ปลาย่าง
ป๋ากั๋บ, ปลากระป๋อง
ป๋าเกื๋อ, ปลาเค็ม
ฮ้า, ปลาร้า
ป๋าฮ้า, ปลาร้า
ป๋าบ้วง, ปลาแห้ง
พิ่กแต้, พริกขี้หนู
พิ่กหน้อย, พริกขี้หนู
พิ่กน้อย, พริกไทย
พิ่กหนุ่ม, พริกสด
พิ่กดิ๋บ, พริกสด
พิ่กแห้ง, พริกแห้ง
มะขูด, มะกรูด
มะนาว, มะนาว
เตียนแถบ, ยี่หร่า
ผั๋กจี, ยี่หร่า
มะต๋าว, ลูกชิด
งุ้น, วุ้น
งุ้นเสัน, วุ้นเสัน
ป๋าส้ม, ส้มฟัก
หมาก, หมาก
จี๊นทอด, หมูทอด
ห่อหนึ้ง, ห่อหมก
หอมบั่ว, หัวหอม
เหมี้ยง, เหมี้ยง
จี๊นส้ม, แหนม
มะมื่น, กระบก
ก้อมก้อดำ, กะเพรา
กะเพา, กะเพรา
กะถิน, กระถิน
ก๋อย, กลอย
กะหลํ่าดอก, กะหลํ่าดอก
กะหลํ่าปี๋, กะหลํ่าปลี
ผั๋กแคบฝลั่ง, กะทกรก
ผำ, ไข่น้ำ
ผั๋กกํ๋าปืน, ขึ้นฉ่าย
ตูน, คูน
ผั๋กแค, ชะพลู
ผั๋กปูน่ก, ชะพลู
ผั๋กล๋ะ, ชะอม
ดอกแก, ดอกแค
คอกสลิ๋ด, ดอกขจร
ใบหอม, ต้นหอม
ผั๋กหอม, ต้นหอม
มะแต๋ง, แตงกวา
มะแต๋งลาย, แตงไทย
มะเต้า, แตงโม
ถั่วงอก, ถั่วงอก
มะถั่ว, ถั่วฟักยาว
ถั่วปู, ถั่วพู
ถั่วน้อย, ถั่วลันเตา
ถั่วดิน, ถั่วลิสง
มะน้ำ, น้ำเต้า
มะนอย, บวบ
บอน, บอน
เบือ, บุก
บุ๋ก, บุก
ผั๋กเสี้ยว, ใบกาหลง
ผั๋กหนอก, ใบบัวบก
ผั๋กหนอง, ผักกระเฉต
ผั๋กไผ่, ผักกะเสิม
ผั๋กกาด, ผักกาด
ผั๋กกาตจ้อน, ฝักกาดเขียว
ผั๋กกาดญี, ฝักกาดหอม
ผั๋กสลั๋ด, ฝักกาดหอม
ผั๋กกูด, ผักกูด
ผั๋กหม, ผักโขม
ผั๋กขม, ผักโขม
ผั๋กขี้ขวง, ผักขวง
ผั๋กขี้ขวง, สะเดาดิน
ผั๋กเผ๋ด, ผักคราด
ผั๋กคะน้า, ผักคะน้า
ผั๋กปู่ญ่า, ผักชะเลือด
หอมป้อม, ผักชี
หอมป้อมเป้อ, ผักชีฝรั่ง
ผั๋กจี, ผักชีล้อม
ผั๋กจี, ผักชีลาว
ผั๋กแคบ, ผักตำลึง
ผั๋กบุ้ง, ผักบุ้ง
ผั๋กกุ่มป่า, ผักปอด
ผั๋กปั๋ง, ผักปลัง
ผั๋กแว่น, ผักแว่น
ผั๋กส้มเสี้ยน, ผักเสี้ยน
ผั๋กหวาน, ผักหวาน
ปู, พลู
มะลิ่ดไม้, เพกา
ปูเลย, ไพล
เผือก, เผือก
มะฟั่กหม่น, ฟักเขียว
ฟั่กแก้ว, ฟักทอง
มะเขือแจ้, มะเขือขื่น
มะเขือส้ม, มะเขือเทศ
มะเขือผ่อย, มะเขือเปราะ
มะแคว้ง, มะเขือพวง
มะเขือหำม้า, มะเขือยาว
มะเขือญาว, มะเขือยาว
มะล่ะ, มะระ
มะห่อย, มะระ
มะไห่, มะระขี้นก
มะห่อย, มะระขี้นก
มะค้อนก้อม, มะรุม
มะแคว้งขม, มะแว้ง
มะเขือปู่, มะอึก
